# file=01.mp4
# language=zh prob=1
[6.8-9.2] 大家好,我是郭尚昌特顾王老师
[1538.9-1541.0] 当然底背离多次底背离起
[1541.0-1542.1] 其实还是有的
[1542.1-1545.5] 能够有的时候在市场中能够碰到多次底背离
[1547.2-1549.5] 那么提示 底背充分换手
[1549.5-1552.0] 空头的空头耗劲
[1552.0-1554.5] 然后后续大概率会出发一个反转
[1554.5-1555.6] 这里
[1555.6-1560.3] 这个是底背离
[1560.3-1561.7] 然后推荐用法的话
[1561.7-1563.8] 推荐用法就是一是金叉
[1563.8-1565.1] 一种是金叉
[1565.1-1567.4] 这种的话是适合右侧
[1567.4-1568.9] 右侧交易的
[1568.9-1572.8] 然后评众选择可以选择评众波动性大的
[1572.8-1574.5] 这种不要波动性小的
[1574.5-1579.5] 比如说像这种银行啊
[1579.5-1579.9] 是吧
[1579.9-1581.3] 还有估计事业这种
[1581.3-1584.7] 其实触发起来可能失效性就会比较多
[1584.7-1586.0] 会经常失效
[1586.0-1588.4] 有点选择波动性比较大的
[1588.4-1591.3] 那像这边就是林德时代电信行业
[1591.3-1594.7] 显然它是一个波动性比较大的一个行业
[1594.7-1596.2] 是波动性比较大的公司
[1596.2-1601.9] 然后另外的话就尽量有其他指标去结合 提高胜率
[1601.9-1604.5] 可以在进拉趋势形成的时候
[1604.5-1606.6] 就是刚好它什么时候形成趋势呢
[1606.6-1607.7] 其实就是这个
[1607.7-1610.6] 类柱开始在变短的时候啊
[1610.6-1613.0] 这个趋势趋势就开始它反转了
[1613.0-1614.6] 然后真正交叉的时候
[1614.6-1615.8] 那可能在这里啊
[1615.8-1616.8] 这里才会交叉
[1616.8-1619.5] 那你可以在这个去变短的时候啊
[1619.5-1622.0] 提前去交易也是可以的啊
[1622.0-1624.5] 这个根据大家一个交易习惯啊
[1624.5-1625.8] 去做选择
[1626.5-1628.1] 然后或者可以等到
[1628.1-1629.6] 经测死差出现后
[1629.6-1630.6] 然后再来
[1630.6-1631.9] 再来这个
[1631.9-1632.4] 介入
[1632.4-1634.0] 那比如说这里出现了
[1634.0-1635.0] 在这边出现了
[1635.0-1635.7] 那
[1635.7-1637.3] 小兰你会损失掉一部分
[1637.3-1639.3] 但这里呢会更稳稳健一些啊
[1639.3-1640.9] 因为趋势已经形成了
[1640.9-1642.1] 就是有的有失啊
[1642.1-1643.4] 这样的一个交易策略
[1645.0-1646.2] 然后止损的话啊
[1646.2-1648.8] 止损你可以放在前面下面一点啊
[1648.8-1650.1] 就比如说这里介入了
[1650.1-1652.1] 你可以放在前面低点的位置啊
[1652.1-1652.6] 低点
[1652.6-1653.7] 低点向下一点点
[1653.7-1655.2] 这里可以设置一个植损
[1655.2-1660.8] 这个是金叉的一个使用
[1660.8-1666.6] 第二种就是刚才讲到的底背离
[1666.6-1673.0] 可以在出发前面的底位在这里
[1673.0-1678.7] 可以去介入是能够超到底的这样的一个指标
[1678.7-1688.7] 那直损的话啊直损也是可以设置在这个低点啊低点下方一点啊下方一点啊或者说
[1688.7-1693.3] 你这边形成之后这个形成之后啊这边已经形成拐头之后
[1693.3-1699.9] 那你可以放在重新放在这个新的地点下方一点啊都是可以去做参考的啊
[1699.9-1702.6] 然后顶背离在出发顶啊顶背离的时候
[1702.6-1704.9] 那我们就是一个减仓的一个实际
[1704.9-1707.6] 这个是实战的一个用法
[1711.3-1712.8] 那注意视想
[1713.8-1717.1] 尽量配合成交量去看新的信号的强入
[1717.1-1719.1] 如果成交量比较大的话
[1719.1-1722.4] 那就证明信号是比较强的
[1722.7-1724.8] 放量的金差和放量的死差
[1724.8-1725.8] 更可靠一些
[1725.8-1727.7] 大家去看这个成交量
[1727.7-1728.6] 去集合成交量
[1728.6-1730.9] 然后避免在横盘震荡的时候
[1731.1-1732.5] 过渡依赖MCD
[1732.5-1734.3] 尤其是这个金差死差
[1734.3-1738.3] 如果载幅震荡的话会频繁出现假信号
[1738.3-1740.5] 就是大趋势有大跌
[1740.5-1741.7] 然后开始要反转了
[1741.7-1743.7] 那有大涨开始要转跌的时候
[1743.7-1747.1] 去做这个交易去做选择
[1747.1-1748.1] 载幅震荡
[1748.1-1749.1] 载幅震荡的时候
[1749.1-1751.1] 那么尽量规避掉
[1751.1-1752.3] 规避掉MACD
[1753.3-1755.3] 而屏幕选择的话也比较关键
[1755.9-1758.3] 尽量选择拨东西比较大的
[1758.3-1759.3] 拨东西比较大的
[1759.3-1762.3] 这个趋势比较明显的一些屏种
[1762.3-1764.7] 这个是注意事项
[1767.0-1769.0] 那么我们这节课就到这里
[1769.0-1770.0] 谢谢大家观看
