# file=05.mp4
# language=zh prob=1
[11.7-15.1] 好 各位国城的投资者 朋友们 大家好
[15.1-17.8] 我是国城投言和成兵者
[1537.8-1542.8] 而不会在一些相对平缓的更多的这种垃圾时间里面去选择交易
[1542.8-1543.5] 对不对
[1543.5-1545.3] 我们不是这样的一个交易方式
[1545.3-1548.8] 所以說我把這個圖物性方量給大家標誌出來
[1548.8-1551.1] 稍後我們會去講
[1555.2-1559.7] 好 我們簡單的總結一下
[1560.7-1566.5] 神型的一個分析法的一個具體的東西
[1566.5-1569.7] 首先通過對K線波動情況
[1569.7-1572.9] 成交量的一個穩定情況來判斷
[1572.9-1576.3] 分析主力對股價的一個掌控程度
[1576.3-1578.7] 內部籌碼結構是否穩定
[1578.7-1582.2] 從而得出籌碼是否出現了分歧
[1582.2-1584.2] 是否有利於股價上漲
[1584.2-1586.7] 以及股價出於哪個階段
[1586.7-1588.7] 其實很簡單
[1588.7-1590.2] 就是說什麼意思呢
[1590.2-1594.7] 我們通過這幾個神型的一個組合方式
[1594.7-1599.7] 來判斷股價和成交量所處的一個關係情況
[1599.7-1603.7] 關係比較緊密的量價齊形的這種
[1603.7-1605.7] 也就是神型兼具的這種
[1605.7-1609.5] 那这种相对来说股价走势向上的一个趋势性
[1609.5-1611.2] 只要判断正确以后
[1611.2-1614.5] 那基本上就是一个持续上行短时间内
[1614.5-1617.1] 是不太可能会扭曲他的一个趋势的
[1617.9-1622.0] 那如果据到一些像这种成交量相对比较稳定
[1622.0-1624.1] 但是股价有一些震荡波动
[1624.1-1626.6] 那这一种时候往往要不是在底部
[1626.6-1629.1] 要不就是在顶部这样的一种状态
[1629.7-1633.0] 所以说但是这个就需要一个大的一个方向
[1633.0-1636.7] 我们去判断一下它的一个具体的一个情况
[1637.5-1638.8] 具体的一个情况
[1638.8-1640.8] 然后如果是在顶部的时候
[1640.8-1643.2] 我们要去看它是否有这样的一个
[1643.2-1644.5] 键顶的一个跡象
[1644.5-1646.3] 如果是在低位的时候
[1646.3-1649.1] 它的是否有一个明显的一个低息的过程
[1649.1-1650.0] 这是这样
[1650.0-1651.2] 然后我们去
[1651.2-1653.5] 然后在通过这种神型的一个
[1653.5-1655.0] 这种组合
[1655.0-1657.8] 去分布它的一个筹码的一个结构
[1657.8-1659.5] 以及是否稳定
[1659.5-1661.8] 那如就像我们刚刚看到的那些
[1661.8-1665.1] 有些在神型不堅
[1665.1-1666.7] 就巨散的這種狀態下
[1666.7-1668.4] 成了量是相對比較
[1668.4-1669.8] 互上呼嚇的這種
[1669.8-1672.1] 它的一個量能相對較分散
[1672.1-1673.3] 那這種說明什麼
[1673.3-1675.1] 說明它整體的一個
[1675.1-1677.2] 整體的一個教育過程當中
[1677.2-1678.8] 分歧是比較大的
[1678.8-1680.0] 分歧是比較大的
[1680.0-1681.5] 有這樣的一個較大的分歧
[1681.5-1685.2] 的時候往往市場會放量的一個狀態下
[1685.2-1688.1] 有時候會導致股價這樣不確定
[1688.1-1690.3] 然後往往會出現一些
[1690.3-1694.5] 這種後續 當然了 如果後續的分歧歸
[1694.5-1698.0] 這種多方戰油 當然就正常上行了
[1698.0-1701.5] 那空方戰油的時候就可能就去下去了 對不對
[1701.5-1704.8] 還有像我們常見的一種形態
[1704.8-1708.7] 就是很大家常看到的這個方量
[1708.7-1711.0] 比如說這個量能這樣
[1711.0-1712.8] 突然有這樣的一個情況
[1712.8-1715.8] 然後過了一段時間又有一個量能下來
[1715.8-1717.8] 又有一個量能的這樣的一個釋放
[1717.8-1719.5] 那這種情況下 我們都看
[1719.5-1722.0] 量能它是一個向下的一個過程
[1722.0-1725.8] 那這種這種過程到底是一種什麼樣的一個趨勢性呢
[1725.8-1728.9] 有些人就認為那這個量能在逐漸的縮小
[1728.9-1730.8] 那這是一個不是很好的狀態
[1730.8-1734.3] 也就是說股價可能不會有就是向上的一個空間
[1734.3-1735.6] 不會有很大
[1735.6-1737.6] 當然了這個不是一定的
[1737.6-1738.8] 不是一定的
[1738.8-1741.2] 其實從成交量上也能看得出來
[1741.2-1743.7] 如果有錢後的一個對照的話
[1743.7-1749.5] 我們可以分析它量也就是主力對這支股票的一個實際控制的一個力度
[1749.5-1751.9] 是在逐漸的 增大的
[1751.9-1753.6] 雖然說量能在逐漸的
[1753.6-1755.2] 成謠量在蘇建減小
[1755.2-1757.5] 但是也證明了一點
[1757.5-1760.5] 主力對這支股票的空涵力度
[1760.5-1761.8] 在不斷的增強
[1761.8-1763.2] 也就是這樣的情況
[1763.2-1765.8] 所以說我們通過神興分析法
[1765.8-1768.9] 是可以分析出來一個量價的關係
[1768.9-1771.0] 然後能夠分析出來籌碼
[1771.0-1774.5] 現在處於一種所謂的分歧狀態比較嚴重
[1774.5-1778.5] 還是有利於股價上漲的階段
[1778.5-1784.4] 通过这样的一个阶段来判断我们所处的这支股票所处的
[1784.7-1786.0] 当下的这个位置
[1786.5-1791.6] 判断好他的一个确定位置以后 我们才能够更好的去进行一个交易
[1792.6-1794.7] 好 那今天这节课先到这里
[1795.2-1796.5] 稍后呢
[1796.7-1801.8] 就是接下来我还会在具体的通过实战的方法去给大家去分析
[1802.1-1807.0] 在交易共产党中遇到哪些具体的这种量价关系的时候
[1807.0-1808.5] 該如何的去操作
[1808.5-1811.0] 好 那今天的課程就先到這裡
