# file=09.mp4
# language=zh prob=1
[10.2-12.9] 好 各位投資者朋友們 大家好
[12.9-16.0] 我們繼續上一節課的內容
[1508.8-1512.6] 我们初步可以判断这是一个相对比较低的位置
[1512.6-1515.6] 基本上低位就在区间范围内了
[1515.6-1520.0] 当然我们还不能够完全判断出来它的一个所谓的低点在哪里
[1520.0-1524.0] 只能说在区间内它已经到了一个相对比较低的位置了
[1524.0-1526.4] 因为在这里连续出现了地量
[1526.4-1530.2] 所以说我们这个地量的一个使用方法就是这个意思
[1530.2-1533.6] 就是說要結合著大的趨勢來看
[1533.6-1537.0] 更多的是在指數上運用的多一些
[1537.0-1540.4] 各古當中的地量我們盡量用的不是很多
[1540.4-1543.9] 因為它這種地量一直骨票
[1543.9-1547.3] 它的一個尤其是在一些T彩骨小盤骨上面
[1547.3-1549.8] 它很有可能會出現一段時間的
[1549.8-1553.3] 就是個別的某一天的一個交易活躍量非常的低
[1553.3-1555.7] 甚至有時候這一支骨票
[1555.7-1558.4] 它的一個主力控盤力度比較高的時候
[1558.4-1561.3] 他这一天就没有什么交易量也很正常
[1561.3-1562.8] 就是量能很低
[1562.8-1564.1] 所以说在个股上面
[1564.1-1566.2] 他的一个意义并不是很大
[1566.2-1567.2] 并不是很大
[1567.2-1569.5] 反而是在这个大的趋势上面
[1569.5-1571.1] 我们运用这样的一个情况
[1571.1-1572.6] 去判断去分析
[1572.6-1575.4] 相对他的一个成功级率高一些
[1575.4-1577.4] 一定要记住
[1577.4-1579.4] 就是一两次地量
[1579.4-1581.8] 只能说明市场的一个交易冷清
[1581.8-1586.1] 不能判断市场到了一个底部
[1586.1-1587.9] 去判断他底部以后
[1587.9-1589.1] 一定要配合着
[1589.1-1592.7] 就是有多个地量出现之后才可以
[1592.7-1594.9] 好 那今天我们的这些课
[1594.9-1596.5] 就暂时先到这里
