# file=03.mp4
# language=zh prob=1
[9.3-11.3] 大家好 我是王老师
[11.3-13.8] 那么今天开始第四节的一个课程
[1558.6-1560.7] 说明市场是有认可的
[1560.7-1563.6] 在这边 想像多方力的 战决上风
[1563.6-1565.9] 然后又上去之后 然后空方
[1565.9-1569.7] 这边有很多厂码 空方又砸了一些
[1569.7-1572.1] 然后又下来一些
[1572.1-1576.5] 但总体的话 逐渐的 肯定量也是在这里
[1576.5-1577.5] 肯定量还比较大
[1577.5-1579.1] 后面也是逐渐的收脸
[1579.1-1581.7] 后面逐渐量 肯定量逐渐的收脸
[1581.7-1584.9] 那这种收脸的时候 都是接近了整个
[1584.9-1587.1] 震荡区域的一个默契
[1587.1-1588.3] 大家可以注意一下
[1588.3-1590.5] 也就是可能会临近突破
[1590.5-1593.5] 这种时候要打起精神
[1593.5-1596.1] 那最终是一个相伤突破
[1596.1-1606.5] 这个是一个很典型的一个上升三角性
[1606.5-1610.8] 下降再表情,下降再表情跟上下也就是一个相反的
[1611.5-1615.7] 出现了下降趋势中,整个的趋势是相下的,是比较明显
[1615.7-1620.2] 整个的均线是相下的,其他的指标,这个成交量是伟塑的
[1620.2-1624.8] 其他的指标都是在相下的,逐渐创新低,逐渐往下压
[1625.8-1630.7] 然后也是一个中级形态,预示的后世行,请延续前期下跌概率是比较大的
[1630.9-1636.1] 那首先,他前面肯定是长得比较高了,然后开始走了一个山雄道
[1636.5-1641.9] 下降指向高点 低点位置 基本处于同一群面
[1641.9-1644.9] 就在这里开始整理了 处于同一群面
[1644.9-1648.3] 一般触顶三次选择现象突破
[1648.3-1650.5] 潮流是越长 下降的概率越大
[1650.5-1657.1] 当它是两次 它是有两次的触顶
[1657.1-1660.5] 那么这种在交易过程中
[1660.5-1663.5] 它的意义就是下降过程中
[1663.5-1666.3] 有的时候可能大家会提前去超底
[1666.3-1667.8] 今天去超抵
[1667.8-1670.6] 觉得这个调整幅度非常大了
[1670.6-1671.5] 你看这个
[1671.5-1674.0] 跟看到就从60已经调整到40了
[1674.0-1675.7] 那么这个幅度已经非常大了
[1675.7-1676.8] 那可能有的人
[1676.8-1677.9] 就去超抵了
[1677.9-1679.0] 就去超抵了
[1679.0-1680.0] 那么
[1681.3-1683.2] 形容量一个形态之后
[1683.2-1684.0] 超抵
[1684.0-1686.0] 如果它向下突破了下延
[1686.0-1688.8] 那就说明你可能超抵失败了
[1688.8-1689.9] 这个时候
[1689.9-1692.7] 这个时候如果有反抽或者说有突破
[1692.7-1694.9] 你就要去剪掉一点藏位来
[1694.9-1696.5] 轨闭掉这样的风险
[1696.5-1699.6] 它出现了两段的一个下跌
[1699.6-1701.0] 如果你这里超抵的话
[1701.0-1703.7] 可能你这里没有跑掉
[1703.7-1707.9] 到下面会有非常长时间的一个震荡
[1707.9-1709.4] 就比较难受这种
[1709.4-1712.7] 这是下降的举行
[1712.7-1717.1] 注意试下成较亮的一个配合
[1717.1-1718.8] 在举行形成过程中的话
[1718.8-1719.5] 成较亮
[1719.5-1722.9] 应该是无段减小为吃较低水平的
[1722.9-1725.9] 如果在形成期间有不规则的
[1725.9-1728.9] 高层交量出现的话 形态可能会失败
[1728.9-1733.9] 那也就是高层交量可能就出现了一些消息面的刺激或其他方面的刺激
[1733.9-1738.9] 这个团既有分析可能就不太有效在那种情况下
[1738.9-1740.9] 另外有效突破的判断
[1740.9-1745.9] 价格在收盘价值上或之下边缘之下使才算有效突破
[1745.9-1748.9] 然后如果只是影线的向上刺船
[1748.9-1751.9] 并不是突破 一定要看实体
[1751.9-1754.9] 尤其是日线的 看日线的实体需要继续观察
[1754.9-1756.9] 那原有趨勢影響
[1756.9-1758.9] 市場的也有趨勢上
[1758.9-1761.9] 原有趨勢是判斷舉行形態方向的
[1761.9-1762.9] 一關因素之一
[1762.9-1765.9] 如果在舉行形態形成之前
[1765.9-1767.9] 市場處於明顯的上升趨勢
[1767.9-1768.9] 價格上上突破可能性
[1768.9-1771.9] 是更大的反折套下降趨勢
[1771.9-1773.9] 那麼上下突破的一可能性是
[1773.9-1774.9] 比較大的這個是
[1774.9-1777.9] 它的一個注意事件
[1777.9-1778.9] 那麼這個
[1778.9-1779.9] 今天我們第四節的一個課程
[1779.9-1781.9] 終極形態就到這裡
[1781.9-1782.9] 謝謝觀看
