# file=04.mp4
# language=zh prob=1
[9.5-11.5] 大家好,我是王老师
[1484.4-1489.9] 像下方清洁的一个趋势通道
[1489.9-1493.3] 核心作用的话是反映空头主导下跌趋势
[1493.3-1495.7] 然后在反弹要趋势限的时候
[1495.7-1498.2] 然后就有蔓压有这个压制的作用
[1498.2-1499.7] 是个三下的趋势
[1499.7-1502.8] 压弹标准的话也是需要两个有效的高点去认
[1502.8-1505.1] 第三次反弹与组之后
[1505.1-1507.3] 趋势证明是有效的
[1507.3-1511.0] 高点越多 血绪平缓也是压力作用越强
[1511.0-1516.6] 我们看这个阿利 这个是龙基绿能
[1516.6-1519.8] 他也是走了一个比较明显的一个下降趋势
[1519.8-1523.6] 那这里一连线就是一个明显下降趋势在这里
[1523.6-1527.4] 都是有压力做了 趋势内
[1527.4-1529.0] 你看他有的时候是不到的
[1529.0-1533.4] 因为他是一个趋势不像支撑的压力线
[1533.4-1536.4] 它是一个相对精确的点位
[1536.4-1539.0] 它这个趋势 你看在这种趋势里
[1539.0-1541.8] 它也有压力 当然它触碰这里也有压力
[1541.8-1543.1] 这里有压力
[1543.1-1545.3] 然后它沿那个通道
[1545.3-1547.1] 通道的下延
[1547.1-1549.1] 这里有一点支撑
[1549.1-1550.2] 但这种位置呢
[1550.2-1551.3] 你去超底
[1551.3-1552.5] 其实还是有风险的
[1552.5-1555.3] 因为它还是处于一个下降通道中
[1555.3-1556.6] 它的操作就是
[1556.6-1557.5] 如果你被套了
[1557.5-1558.5] 你这个在上面
[1558.5-1559.9] 在这里被套住了
[1559.9-1561.1] 在下降过程中
[1561.1-1562.4] 你不知道什么是解套
[1562.4-1565.5] 但反弹到这个趋势线的上延的话
[1565.5-1567.4] 你可以去
[1567.4-1568.9] 直损掉一部分
[1568.9-1571.3] 这个是它的一个作用
[1571.3-1574.7] 也是来关注趋势的 来关它趋势的
[1575.5-1577.7] 这个是下降的趋势
[1580.1-1581.3] 注意试想
[1581.6-1583.8] 趋势限的话是一个智后的指标
[1583.8-1586.2] 没有办法去预测什么时候啟动
[1586.2-1587.3] 只能确认趋势
[1587.3-1591.0] 就是它出现 因为它要出现两个点才能够
[1591.0-1594.1] 才能够连接成功
[1594.3-1595.7] 也就是说两个点
[1595.7-1598.2] 其实你的弱音上买入的话
[1598.2-1599.3] 这个价格是比较高的
[1599.3-1601.4] 但是你能用来判断整个的
[1601.4-1604.5] 可以限整个公司的一个股价走势
[1604.5-1606.6] 能够抓它处于什么样的状态
[1606.6-1611.1] 然后受另外的话可能会受这个自行操控影响
[1611.1-1613.5] 小盘谷容易出现假突破
[1613.5-1616.0] 因为小盘谷本身它也是波动性比较大
[1616.0-1617.8] 很容易就打得多一点
[1617.8-1620.9] 或者说这个少一点是容易出现假突破的
[1620.9-1623.5] 然后也需要这个基本面的去验证
[1623.5-1625.7] 即当还下的话
[1625.7-1629.0] 如果这个涨停炒或者跌停炒的话
[1629.0-1631.5] 那这种其实线可能会失效
[1631.5-1633.9] 这个也是操作注意一些
[1636.1-1638.9] 那么我们今天的这个可能就大这里
[1638.9-1640.2] 谢谢大家
